generation,best_fitness,average_fitness,best_progress,best_laps
0,108.5531,6.6922,84.66,0.127
1,2290.9394,65.435,1333.13,1.996
2,2290.9394,66.6495,1333.13,1.996
3,7079.0151,204.7646,4118.0,6.165
4,7079.0151,271.8517,4118.0,6.165
5,7660.6591,599.0715,4535.79,6.79
6,7660.6591,751.1561,4535.79,6.79
7,8573.1255,991.0788,5016.53,7.51
8,8573.1255,2075.8804,5016.53,7.51
9,8643.7373,1959.4193,5067.7,7.587
10,8645.0048,1948.6182,5069.08,7.589
11,8645.0048,2821.3613,5069.08,7.589
12,8908.3098,3441.1584,5255.56,7.868
13,8908.3098,3079.0314,5255.56,7.868
14,8908.3098,4215.5227,5255.56,7.868
15,8959.3786,4483.9181,5292.95,7.924
16,8959.3786,4743.346,5292.95,7.924
17,8959.3786,4167.433,5292.95,7.924
18,8973.0883,5047.0081,5300.76,7.935
19,8973.0883,4519.6589,5300.76,7.935
20,8994.5147,4537.65,5313.38,7.954
21,9018.4337,4113.8658,5329.4,7.978
22,9033.2901,4644.591,5338.77,7.992
23,9033.2901,4562.8191,5338.77,7.992
24,9033.2901,4549.9076,5338.77,7.992
25,9033.2901,4250.5239,5338.77,7.992
26,9042.2537,4672.126,5345.4,8.002
27,9042.2537,5428.1549,5345.4,8.002
28,9042.2537,5753.9858,5345.4,8.002
29,9042.2537,5099.4859,5345.4,8.002
30,9042.2537,5833.4462,5345.4,8.002
31,9044.6089,6523.3377,5345.4,8.002
32,9044.6089,6588.4469,5345.4,8.002
33,9044.6089,6755.0083,5345.4,8.002
34,9076.3706,6430.3961,5365.85,8.033
35,9076.3706,6159.3061,5365.85,8.033
36,9076.3706,5809.6781,5365.85,8.033
37,9076.3706,5182.4909,5365.85,8.033
38,9079.5498,5647.8322,5369.2,8.038
39,9079.5498,5125.687,5369.2,8.038
40,9079.5498,5155.6771,5369.2,8.038
41,9079.5498,6034.3101,5369.2,8.038
42,9079.5498,4786.3695,5369.2,8.038
43,9079.5498,4893.3109,5369.2,8.038
44,9079.5498,5782.9304,5369.2,8.038
45,9079.5498,5490.2764,5369.2,8.038
46,9079.5498,5646.9942,5369.2,8.038
47,9079.5498,4942.8856,5369.2,8.038
48,9079.5498,5799.8089,5369.2,8.038
49,9079.5498,5666.2226,5369.2,8.038
