,precision,recall,f1-score,support
Speed limit (20km/h),1.0,1.0,1.0,60.0
Speed limit (30km/h),0.972972972972973,1.0,0.9863013698630138,720.0
Speed limit (50km/h),0.9986376021798365,0.9773333333333334,0.9878706199460917,750.0
Speed limit (60km/h),0.9954954954954955,0.9822222222222222,0.988814317673378,450.0
Speed limit (70km/h),0.9984709480122325,0.9893939393939394,0.9939117199391173,660.0
Speed limit (80km/h),0.9874411302982732,0.9984126984126984,0.9928966061562747,630.0
End of speed limit (80km/h),0.9927007299270073,0.9066666666666666,0.9477351916376306,150.0
Speed limit (100km/h),0.9955654101995566,0.9977777777777778,0.9966703662597114,450.0
Speed limit (120km/h),0.9977777777777778,0.9977777777777778,0.9977777777777778,450.0
No passing,0.9979166666666667,0.9979166666666667,0.9979166666666667,480.0
No passing for vehicles over 3.5 metric tons,0.9984871406959153,1.0,0.9992429977289932,660.0
Right-of-way at the next intersection,0.9811320754716981,0.9904761904761905,0.9857819905213271,420.0
Priority road,0.9969788519637462,0.9565217391304348,0.9763313609467456,690.0
Yield,0.9835616438356164,0.9972222222222222,0.990344827586207,720.0
Stop,1.0,0.9222222222222223,0.9595375722543353,270.0
No vehicles,0.9170305676855895,1.0,0.9567198177676537,210.0
Vehicles over 3.5 metric tons prohibited,1.0,1.0,1.0,150.0
No entry,0.9914040114613181,0.9611111111111111,0.9760225669957687,360.0
General caution,0.9285714285714286,0.9666666666666667,0.9472361809045227,390.0
Dangerous curve to the left,0.9836065573770492,1.0,0.9917355371900827,60.0
Dangerous curve to the right,0.9574468085106383,1.0,0.9782608695652174,90.0
Double curve,0.7058823529411765,0.6666666666666666,0.6857142857142857,90.0
Bumpy road,1.0,0.9083333333333333,0.9519650655021834,120.0
Slippery road,0.8771929824561403,1.0,0.9345794392523363,150.0
Road narrows on the right,1.0,1.0,1.0,90.0
Road work,0.9809322033898306,0.9645833333333333,0.972689075630252,480.0
Traffic signals,0.9523809523809523,1.0,0.975609756097561,180.0
Pedestrians,0.8181818181818182,0.6,0.6923076923076923,60.0
Children crossing,0.9933774834437086,1.0,0.9966777408637874,150.0
Bicycles crossing,0.9183673469387755,1.0,0.9574468085106383,90.0
Beware of ice/snow,0.9699248120300752,0.86,0.9116607773851589,150.0
Wild animals crossing,1.0,0.9925925925925926,0.996282527881041,270.0
End of all speed and passing limits,0.9523809523809523,1.0,0.975609756097561,60.0
Turn right ahead,0.9372197309417041,0.9952380952380953,0.9653579676674365,210.0
Turn left ahead,1.0,1.0,1.0,120.0
Ahead only,0.9974424552429667,1.0,0.998719590268886,390.0
Go straight or right,0.9834710743801653,0.9916666666666667,0.9875518672199171,120.0
Go straight or left,1.0,0.9833333333333333,0.9915966386554621,60.0
Keep right,0.9941176470588236,0.9797101449275363,0.9868613138686132,690.0
Keep left,0.9886363636363636,0.9666666666666667,0.9775280898876404,90.0
Roundabout mandatory,0.7857142857142857,0.9777777777777777,0.8712871287128713,90.0
End of no passing,1.0,0.9833333333333333,0.9915966386554621,60.0
End of no passing by vehicles over 3.5 metric tons,0.8823529411764706,1.0,0.9375,90.0
accuracy,0.9792557403008709,0.9792557403008709,0.9792557403008709,0.9792557403008709
macro avg,0.9630877493348147,0.9653865855337037,0.9630151283153325,12630.0
weighted avg,0.9799758027888412,0.9792557403008709,0.9791212167707831,12630.0
