original_feature,impurity_importance,permutation_importance,permutation_std_across_groups,n_transformed_columns,permutation_units,impurity_units
max_power_bhp,0.7020733852286511,261917.47918170327,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
year,0.0929450073147632,75896.66545616965,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
vehicle_age,0.09266566238353369,82626.61926318212,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
torque_nm,0.03626703129112273,55309.57458839416,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
km_driven,0.022116886464461014,19271.051457521033,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
brand,0.019414048168003968,21495.97263595959,181.52520521617828,32,MAE increase (INR),normalised (sums to 1 over all groups)
mileage_kmpl,0.010148596787497651,15646.155773019736,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
engine_cc,0.0073180382892910015,12039.6540797183,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
km_per_year,0.006244510960421792,5992.549840050868,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
seller_type,0.004502083743527481,4724.042229058951,79.65003856075707,3,MAE increase (INR),normalised (sums to 1 over all groups)
transmission,0.001798190513149668,2285.6539408332656,6.7819750909854575,2,MAE increase (INR),normalised (sums to 1 over all groups)
owner,0.0017488823358953862,1763.9238128340241,57.66223632231827,5,MAE increase (INR),normalised (sums to 1 over all groups)
fuel,0.0016490906964451303,1294.6537495928321,94.8552249921662,4,MAE increase (INR),normalised (sums to 1 over all groups)
seats,0.001108585823236132,2108.379893438844,0.0,1,MAE increase (INR),normalised (sums to 1 over all groups)
