feature,importance_mean,importance_std,method
max_power_bhp,261917.47918170327,8900.479731444097,permutation
vehicle_age,82626.61926318212,2642.842837808821,permutation
year,75896.66545616965,2656.7525007605636,permutation
torque_nm,55309.57458839416,2094.190064583848,permutation
km_driven,19271.051457521033,1481.9519478864686,permutation
mileage_kmpl,15646.155773019736,974.2948290767528,permutation
engine_cc,12039.6540797183,472.2926404203747,permutation
brand_Tata,6382.328963596501,544.6107847920651,permutation
brand_Toyota,6200.960758508416,433.97391329997157,permutation
km_per_year,5992.549840050868,535.6634870053482,permutation
brand_BMW,3070.006078072196,766.8865055381609,permutation
seller_type_Individual,2716.044437524225,160.17105219886028,permutation
seats,2108.379893438844,251.57143803935645,permutation
seller_type_Dealer,1758.9908992854334,139.5322265119412,permutation
brand_Volvo,1491.285210641226,175.9490367444703,permutation
owner_First Owner,1311.7505076296113,167.89369337006357,permutation
transmission_Manual,1188.5572335662835,151.6412651607348,permutation
transmission_Automatic,1097.0967072669823,161.23242631408294,permutation
brand_Mercedes-Benz,800.3767628841316,310.26129240721014,permutation
fuel_Diesel,678.4591969741101,163.46357492781422,permutation
fuel_Petrol,599.9203533551064,171.50773228264057,permutation
brand_Land,549.8428358616899,23.889401921160086,permutation
brand_Chevrolet,482.7253366898794,170.41247261057572,permutation
brand_Volkswagen,398.2913216145331,330.88314406769547,permutation
brand_Ford,361.16983319407154,80.56562943725345,permutation
brand_Maruti,356.72111129418386,169.088361362005,permutation
brand_Mahindra,324.25839145002345,118.21118526611244,permutation
owner_Second Owner,291.6135035911837,96.90509197512463,permutation
seller_type_Trustmark Dealer,249.00689224929278,13.056481970758659,permutation
brand_Honda,245.9164303522334,99.2198725596081,permutation
brand_Renault,190.43397393529594,41.86576445121514,permutation
brand_Audi,128.12522439011082,101.26424713662598,permutation
brand_Fiat,125.78500528449658,10.731842209974408,permutation
brand_Datsun,114.1744753102675,19.81817665955204,permutation
owner_Test Drive Car,108.46130226796764,7.025434172348932,permutation
brand_Jaguar,103.31096733394467,28.897528327928573,permutation
brand_Hyundai,86.54499526397267,39.02668918359669,permutation
owner_Fourth & Above Owner,70.94438381492607,70.73262390379394,permutation
brand_Skoda,48.834587613968566,54.50936081536086,permutation
brand_Mitsubishi,22.372555008886653,0.18467133676547634,permutation
fuel_LPG,15.685176156957944,5.458278346873966,permutation
brand_Lexus,15.368320349867766,0.025568247823226416,permutation
brand_Nissan,3.969202592460594,34.78544886512083,permutation
fuel_CNG,0.5890231066577447,1.177681177080388,permutation
brand_Ambassador,0.49200492004553475,3.6298854070919862e-12,permutation
brand_Opel,0.0,0.0,permutation
brand_Peugeot,0.0,0.0,permutation
brand_Ashok,0.0,0.0,permutation
brand_MG,0.0,0.0,permutation
brand_Kia,0.0,0.0,permutation
brand_Daewoo,0.0,0.0,permutation
brand_Force,0.0,0.0,permutation
brand_Isuzu,0.0,0.0,permutation
brand_Jeep,-7.321710202811906,4.001701210870151,permutation
owner_Third Owner,-18.845884469664693,83.22006826800876,permutation
